media_type, title, status, release_date, episode_count
"1", "Summer Special", "FINISHED", "2006-10-01", "2"
"1", " Big First-year Student and a Small Second-year Studen", "UNKNOWN", "2014-01-01", "1"
"1", " Branch of a Pine Is Tied u", "UNKNOWN", "2017-01-01", "1"
"1", " Bridge to the Starry Skies OV", "UNKNOWN", "2011-01-01", "1"
"1", " Brightening Lif", "FINISHED", "2010-04-01", "1"
"1", " brightening lif", "UNKNOWN", "2010-01-01", "1"
"1", " Certain Magical Index 10th Anniversary P", "UNKNOWN", "2014-01-01", "1"
"1", " Certain Magical Index Movie: The Miracle of Endymio", "UNKNOWN", "2013-01-01", "1"
"1", " Certain Magical Index Movie: The Miracle of Endymion Specia", "UNKNOWN", "2013-01-01", "1"
"1", " Certain Magical Index-ta", "UNKNOWN", "2009-01-01", "2"
"1", " Certain Scientific Railgun T: Motto Marutto Railgu", "UNKNOWN", "2000-01-01", "1"
"1", " Channel +Smil", "FINISHED", "2012-01-01", "3"
"1", " Child's Metaphysic", "UNKNOWN", "2007-10-01", "1"
"1", " Christmas Son", "FINISHED", "2012-10-01", "1"
"1", " crow is white: fake!fake", "UNKNOWN", "2014-01-01", "1"
"1", " crow is white: Himitsu Spar", "UNKNOWN", "2014-01-01", "1"
"1", " crow is white: Hizumu Realis", "UNKNOWN", "2015-01-01", "1"
"1", " crow is white: Many Mar", "UNKNOWN", "2013-01-01", "1"
"1", " Day Before U", "FINISHED", "2018-04-01", "19"
"1", " Day Before Us 2nd Seaso", "FINISHED", "2018-04-01", "15"
"1", " Day Before Us ZER", "FINISHED", "2018-10-01", "19"
"1", " Day Before Us: Merry Christmas", "FINISHED", "2018-01-01", "1"
"1", " Gaze in Summer 1.9.4.", "UNKNOWN", "2002-01-01", "1"
"1", " Gum Bo", "UNKNOWN", "2010-01-01", "1"
"1", " Hundred Percent", "UNKNOWN", "1990-01-01", "1"
"1", " Jewish Girl in Shanghai: The Mystery of the Necklac", "UNKNOWN", "2015-07-01", "1"
"1", " Kit", "FINISHED", "1998-01-01", "2"
"1", " Little Snow Fairy Sugar Summer Special", "UNKNOWN", "2003-01-01", "2"
"1", " Log Day of Timbr", "FINISHED", "2011-01-01", "1"
"1", " long day of Mr. Calpacci", "UNKNOWN", "2005-01-01", "1"
"1", " Long Day of Timbr", "UNKNOWN", "2011-01-01", "1"
"1", " Midnight Oper", "FINISHED", "2007-10-01", "4"
"1", " New Journe", "FINISHED", "2019-01-01", "1"
"1", " Piece of Phantasmagori", "FINISHED", "1995-01-01", "15"
"1", " Pla", "FINISHED", "2011-01-01", "1"
"1", " Polar Bear in Lov", "UNKNOWN", "2000-01-01", "10"
"1", " Polar Bear in Love (Web", "UNKNOWN", "2017-10-01", "3"
"1", " Polar Bear in Love: Chikyuu wa Marui-he", "UNKNOWN", "2019-01-01", "1"
"1", " Reflection of One's Min", "FINISHED", "2014-04-01", "1"
"1", " Sea Doesn't Tell Muc", "FINISHED", "2008-01-01", "1"
"1", " Sister's All You Need (Web", "UNKNOWN", "2017-01-01", "6"
"1", " Sister's All You Need Special", "UNKNOWN", "2018-01-01", "2"
"1", " Smart Experimen", "UNKNOWN", "2006-01-01", "1"
"1", " Smart Experimen", "FINISHED", "2006-01-01", "1"
"1", " Soliloquy of The Boy who Cried Wol", "FINISHED", "2012-10-01", "1"
"1", " song for You! You? You!", "FINISHED", "2020-01-01", "1"
"1", " Sumo Wrestler's Tai", "UNKNOWN", "2010-01-01", "1"
"1", " Tang Qi Y", "FINISHED", "2017-07-01", "1"
"1", " Taste of Toky", "FINISHED", "2019-07-01", "1"
"1", " Town Where You Live (2014", "UNKNOWN", "2014-01-01", "2"
"1", " Town Where You Live: Tasogare Kousate", "UNKNOWN", "2012-01-01", "2"
"1", " Woman in a Fashion Buildin", "FINISHED", "2015-01-01", "1"
"1", " Woman in a Fashion Buildin", "UNKNOWN", "2015-01-01", "1"
"1", " WOMAN IN A FASHION BUILDIN", "FINISHED", "2015-01-01", "1"
"1", "-Channe", "FINISHED", "2011-04-01", "12"
"1", "-Channel + smil", "UNKNOWN", "2012-01-01", "2"
"1", "-Channel+smil", "FINISHED", "2012-01-01", "2"
"1", "-Channel: +A-Channe", "FINISHED", "2011-04-01", "11"
"1", "-Channel: A-Channel+smil", "FINISHED", "2012-01-01", "2"
"1", "-Channel: Nabe wo Tabeyo", "FINISHED", "2017-07-01", "1"
"1", "-Gir", "FINISHED", "1993-07-01", "1"
"1", "-jang.co", "FINISHED", "2001-10-01", "13"
"1", "-Ko The Versu", "FINISHED", "1990-07-01", "2"
"1", "-RA-SHI : Rebor", "FINISHED", "2020-01-01", "1"
"1", "-ra-shi: Rebor", "FINISHED", "2020-01-01", "1"
"1", "-Size Classmat", "FINISHED", "2016-01-01", "2"
"1", ".D. Police (TV", "FINISHED", "1999-04-01", "12"
"1", ".", "FINISHED", "2002-07-01", "1"
"1", ".F.R.O: Wonderland (Satoru Ver.", "UNKNOWN", "2013-01-01", "1"
"1", ".F.R.O: Wonderland (UG Ver.", "UNKNOWN", "2013-01-01", "1"
"1", ".I.C.O.: Incarnatio", "FINISHED", "2018-01-01", "12"
"1", ".LI.C", "FINISHED", "2000-01-01", "1"
"1", "3! Season Autumn & Winte", "UPCOMING", "2020-10-01", "0"
"1", "3! Season Spring & Summe", "FINISHED", "2020-01-01", "12"
"1", "", "UNKNOWN", "2000-01-01", "0"
"1", "_caF", "UNKNOWN", "2002-01-01", "1"
"1", "_caF", "FINISHED", "2002-01-01", "1"
"1", "a / i", "FINISHED", "2014-01-01", "1"
"1", "a Harimanad", "FINISHED", "1992-04-01", "23"
